ID,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19
4013610900,10472,653,874,853,701
4013611000,2768,168,222,217,269
4013611100,3757,179,443,327,269
4013611200,6325,509,480,586,568
4013611300,6568,535,469,478,335
4013611400,6419,458,552,604,499
4013611500,7645,504,615,850,519
4013611600,2910,79,224,283,189
4013611700,7181,83,801,574,754
4013611800,7094,271,625,587,763
4013611900,2949,122,130,230,464
4013612000,3423,153,218,386,225
4013612200,5975,541,534,362,265
4013612300,8309,557,532,449,419
4013612400,8161,777,797,616,531
4013612500,4303,189,196,373,426
4013612600,2444,196,143,136,48
4013612700,2276,85,64,185,99
4013612800,2335,212,131,132,71
4013612900,2769,158,246,207,173
4013613000,5393,291,273,311,294
4013613100,3215,32,138,36,169
4013613200,4246,216,222,284,297
4013613300,7507,454,447,728,542
4013613400,3654,158,163,186,274
4013613500,4449,403,202,285,302
4013613600,6292,351,653,547,402
4013613700,4911,364,468,471,365
4013613800,4333,271,248,337,312
4013613900,6276,530,330,505,519
4013614000,4352,181,187,343,382
4013614100,6643,333,480,584,554
4013614200,4754,201,165,282,376
4013614300,3112,110,95,99,43
4013614400,4025,190,215,206,331
4013614500,4283,368,231,286,310
4013614600,6515,558,393,301,269
4013614700,2977,354,102,114,116
4013614800,3933,302,148,121,168
4013614900,4273,456,217,175,190
4013615000,10113,537,880,1351,672
4013615100,4495,318,446,479,323
4013615200,7785,216,175,174,265
4013615300,1983,57,64,72,12
4013615400,2835,0,0,0,31
4013615500,2553,0,0,0,24
4013615600,2958,111,31,29,33
4013615700,3159,227,87,19,200
4013615800,4908,160,154,408,354
4013615900,4252,235,141,288,228
4013616000,2192,121,65,62,312
4013616100,3669,199,143,194,206
4013616200,3557,198,167,239,293
4013616300,2216,118,96,92,101
4013616400,5932,325,286,116,145
4013616500,3591,145,197,246,218
4013616600,6025,244,426,364,517
4013616700,5231,240,173,400,221
4013616800,5214,419,284,223,233
4013616900,3991,298,76,128,201
4013617000,6344,351,341,382,293
4013617100,2403,128,148,188,133
4013617200,2628,157,191,150,101
4013617300,3419,314,296,85,146
4013617400,7063,96,453,118,241
4013617500,3605,48,7,44,38
4013617600,5660,480,363,196,269
4013617700,3540,301,253,213,164
4013617800,2350,79,95,122,149
4013617900,2828,82,133,175,134
4013618000,4605,277,256,230,397
4013618100,4483,248,229,400,230
4013618200,4143,287,238,264,376
4013618300,3136,79,247,253,176
4013618400,3858,251,307,378,158
